method,fold,validation_start,validation_end,coverage_80,average_width,median_width,lower_miss_rate,upper_miss_rate,crossing_rate
Raw Linear QR,1,2023-01-01,2023-03-31,0.6888888888888889,1.4716951001035916,1.4539434306173211,0.16666666666666666,0.14444444444444443,0.0
Raw Linear QR,2,2023-04-01,2023-06-30,0.6923076923076923,3.0236045485999243,2.5407513876594194,0.26373626373626374,0.04395604395604396,0.0
Raw Linear QR,3,2023-07-01,2023-09-30,0.7717391304347826,4.019567947167081,3.8976461111003378,0.15217391304347827,0.07608695652173914,0.0
Raw Linear QR,4,2023-10-01,2023-12-31,0.7282608695652174,1.582983817843599,1.450313875498912,0.13043478260869565,0.14130434782608695,0.0
Raw Linear QR,5,2024-01-01,2024-03-31,0.7362637362637363,1.6521192434184817,1.5586339220241516,0.12087912087912088,0.14285714285714285,0.0
Raw Linear QR,6,2024-04-01,2024-06-30,0.8131868131868132,3.781919312338859,3.547465762878929,0.07692307692307693,0.10989010989010989,0.0
Raw Linear QR,7,2024-07-01,2024-09-30,0.7608695652173914,3.921900746119018,3.9277838382499066,0.11956521739130435,0.11956521739130435,0.0
Raw Linear QR,8,2024-10-01,2024-12-31,0.6956521739130435,1.9086843206634,1.7119570791092578,0.14130434782608695,0.16304347826086957,0.0
Raw Linear QR,9,2025-01-01,2025-03-31,0.8111111111111111,1.8227947070283246,1.7299499094631168,0.07777777777777778,0.1111111111111111,0.0
Trailing CQR (365d),1,2023-01-01,2023-03-31,0.8555555555555555,2.039108143632455,2.0618350514471935,0.07777777777777778,0.06666666666666667,0.0
Trailing CQR (365d),2,2023-04-01,2023-06-30,0.7362637362637363,3.448404782151661,2.9503128041447013,0.23076923076923078,0.03296703296703297,0.0
Trailing CQR (365d),3,2023-07-01,2023-09-30,0.8369565217391305,4.540861226746215,4.415099595747087,0.10869565217391304,0.05434782608695652,0.0
Trailing CQR (365d),4,2023-10-01,2023-12-31,0.7934782608695652,2.1044482926348818,1.974225449740362,0.08695652173913043,0.11956521739130435,0.0
Trailing CQR (365d),5,2024-01-01,2024-03-31,0.8461538461538461,2.1443648565432043,2.06481967014758,0.06593406593406594,0.08791208791208792,0.0
Trailing CQR (365d),6,2024-04-01,2024-06-30,0.8901098901098901,4.2601673058128755,4.083948499162865,0.04395604395604396,0.06593406593406594,0.0
Trailing CQR (365d),7,2024-07-01,2024-09-30,0.8043478260869565,4.153376020470263,4.161284625253259,0.09782608695652174,0.09782608695652174,0.0
Trailing CQR (365d),8,2024-10-01,2024-12-31,0.7608695652173914,2.0808245525557036,1.923411322083786,0.11956521739130435,0.11956521739130435,0.0
Trailing CQR (365d),9,2025-01-01,2025-03-31,0.8444444444444444,1.9301940328608629,1.8286501164671884,0.06666666666666667,0.08888888888888889,0.0
Two-sided ACI (180d),1,2023-01-01,2023-03-31,0.8444444444444444,1.969671499233115,1.8900343055889346,0.06666666666666667,0.08888888888888889,0.0
Two-sided ACI (180d),2,2023-04-01,2023-06-30,0.7362637362637363,3.366955018035077,3.355520145732452,0.23076923076923078,0.03296703296703297,0.0
Two-sided ACI (180d),3,2023-07-01,2023-09-30,0.8695652173913043,4.908579326027203,4.695794154588521,0.08695652173913043,0.043478260869565216,0.0
Two-sided ACI (180d),4,2023-10-01,2023-12-31,0.8152173913043478,2.0302475474467125,1.9891895299600968,0.06521739130434782,0.11956521739130435,0.0
Two-sided ACI (180d),5,2024-01-01,2024-03-31,0.8131868131868132,1.9161634026153669,1.7706671977243023,0.07692307692307693,0.10989010989010989,0.0
Two-sided ACI (180d),6,2024-04-01,2024-06-30,0.8021978021978022,3.7718286826486116,3.481082952416992,0.07692307692307693,0.12087912087912088,0.0
Two-sided ACI (180d),7,2024-07-01,2024-09-30,0.7391304347826086,3.7982694210671943,3.734297775965347,0.11956521739130435,0.14130434782608695,0.0
Two-sided ACI (180d),8,2024-10-01,2024-12-31,0.7934782608695652,2.1529124819119643,1.9537265068072998,0.09782608695652174,0.10869565217391304,0.0
Two-sided ACI (180d),9,2025-01-01,2025-03-31,0.8444444444444444,1.973010249977528,1.8776213233842194,0.06666666666666667,0.08888888888888889,0.0
Two-sided PID (365d),1,2023-01-01,2023-03-31,0.8333333333333334,1.9487017793287489,1.9566847777249698,0.06666666666666667,0.1,0.0
Two-sided PID (365d),2,2023-04-01,2023-06-30,0.7252747252747253,3.25377539109202,3.156298224903747,0.24175824175824176,0.03296703296703297,0.0
Two-sided PID (365d),3,2023-07-01,2023-09-30,0.8804347826086957,4.991497646618406,4.745269712228668,0.08695652173913043,0.03260869565217391,0.0
Two-sided PID (365d),4,2023-10-01,2023-12-31,0.8043478260869565,2.0812085468073658,1.972333167902546,0.07608695652173914,0.11956521739130435,0.0
Two-sided PID (365d),5,2024-01-01,2024-03-31,0.8241758241758241,2.1300699658793953,1.9816658222517098,0.06593406593406594,0.10989010989010989,0.0
Two-sided PID (365d),6,2024-04-01,2024-06-30,0.8131868131868132,3.906538678569729,3.8214677437837157,0.06593406593406594,0.12087912087912088,0.0
Two-sided PID (365d),7,2024-07-01,2024-09-30,0.7608695652173914,3.8622434333281648,3.7869731537379874,0.11956521739130435,0.11956521739130435,0.0
Two-sided PID (365d),8,2024-10-01,2024-12-31,0.7608695652173914,2.1569327636694386,2.002236849403218,0.13043478260869565,0.10869565217391304,0.0
Two-sided PID (365d),9,2025-01-01,2025-03-31,0.8444444444444444,1.9805718020813736,1.9205324757049462,0.06666666666666667,0.08888888888888889,0.0
Asymmetric PID (365d),1,2023-01-01,2023-03-31,0.8333333333333334,2.0256941422534265,1.966063832929649,0.08888888888888889,0.07777777777777778,0.0
Asymmetric PID (365d),2,2023-04-01,2023-06-30,0.7582417582417582,3.3444505233176494,3.2344876638218256,0.16483516483516483,0.07692307692307693,0.0
Asymmetric PID (365d),3,2023-07-01,2023-09-30,0.8043478260869565,5.594155723906359,5.499724225360573,0.05434782608695652,0.14130434782608695,0.0
Asymmetric PID (365d),4,2023-10-01,2023-12-31,0.8369565217391305,2.3518994779175286,2.2831862368331697,0.05434782608695652,0.10869565217391304,0.0
Asymmetric PID (365d),5,2024-01-01,2024-03-31,0.8351648351648352,2.134274206049469,1.9361671768331874,0.08791208791208792,0.07692307692307693,0.0
Asymmetric PID (365d),6,2024-04-01,2024-06-30,0.8351648351648352,3.7732813072778746,3.49987372464145,0.07692307692307693,0.08791208791208792,0.0
Asymmetric PID (365d),7,2024-07-01,2024-09-30,0.7391304347826086,3.5831874760192286,3.493782143024026,0.15217391304347827,0.10869565217391304,0.0
Asymmetric PID (365d),8,2024-10-01,2024-12-31,0.7717391304347826,2.0999416737203016,2.0060802724241835,0.13043478260869565,0.09782608695652174,0.0
