method,season,n_observations,coverage_80,average_width,median_width,lower_miss_rate,upper_miss_rate,crossing_rate
Raw Linear QR,Winter,240,0.7125,1.6143459166347531,1.4512968932428194,0.1375,0.15,0.0
Raw Linear QR,Spring,215,0.8232558139534883,2.491703371462906,2.043598451763817,0.08372093023255814,0.09302325581395349,0.0
Raw Linear QR,Summer,184,0.7119565217391305,4.113690696298383,4.247477822501574,0.21739130434782608,0.07065217391304347,0.0
Raw Linear QR,Fall,182,0.7252747252747253,2.4061530807009937,2.2262938330575963,0.12637362637362637,0.14835164835164835,0.0
Trailing CQR (365d),Winter,240,0.8125,2.007289672182299,1.8396821322356844,0.07916666666666666,0.10833333333333334,0.0
Trailing CQR (365d),Spring,215,0.8930232558139535,2.919102724078113,2.486030924869169,0.05581395348837209,0.05116279069767442,0.0
Trailing CQR (365d),Summer,184,0.7717391304347826,4.507491830942037,4.629517365868603,0.18478260869565216,0.043478260869565216,0.0
Trailing CQR (365d),Fall,182,0.7857142857142857,2.7474411123196254,2.485874313116561,0.09340659340659341,0.12087912087912088,0.0
Two-sided ACI (180d),Winter,240,0.8291666666666667,1.9959933546186939,1.874593590159522,0.07083333333333333,0.1,0.0
Two-sided ACI (180d),Spring,215,0.827906976744186,2.5171663547942202,2.131756177164453,0.07906976744186046,0.09302325581395349,0.0
Two-sided ACI (180d),Summer,184,0.7445652173913043,4.522855628075808,4.457782490634205,0.18478260869565216,0.07065217391304347,0.0
Two-sided ACI (180d),Fall,182,0.8131868131868132,2.8147678258662756,2.5222776372442457,0.07142857142857142,0.11538461538461539,0.0
Two-sided PID (365d),Winter,240,0.8291666666666667,2.1144820227830623,2.01954050405711,0.06666666666666667,0.10416666666666667,0.0
Two-sided PID (365d),Spring,215,0.8325581395348837,2.550345875156639,2.2073732376541777,0.07906976744186046,0.08837209302325581,0.0
Two-sided PID (365d),Summer,184,0.75,4.593988452059588,4.550033332187139,0.19021739130434784,0.059782608695652176,0.0
Two-sided PID (365d),Fall,182,0.7967032967032966,2.760542998211699,2.4941236778812037,0.08791208791208792,0.11538461538461539,0.0
Asymmetric PID (365d),Winter,240,0.8208333333333333,2.1435023162892164,2.0538601275987434,0.0875,0.09166666666666666,0.0
Asymmetric PID (365d),Spring,215,0.8325581395348837,2.529981633219181,2.174707684474045,0.08372093023255814,0.08372093023255814,0.0
Asymmetric PID (365d),Summer,184,0.75,4.670581305373443,4.6230666727522145,0.15217391304347827,0.09782608695652174,0.0
Asymmetric PID (365d),Fall,182,0.8021978021978022,2.965733257838397,2.6624118519525544,0.07142857142857142,0.12637362637362637,0.0
