method,window,gamma,c_sat,lower_ki_multiplier,upper_ki_multiplier,coverage_80,average_width,median_width,lower_miss_rate,upper_miss_rate,crossing_rate,rolling_coverage_mae,rolling_coverage_min,rolling_coverage_max,rolling_coverage_sd,pooled_calibration_loss,selection_loss,k_i_lower,k_i_upper
Asymmetric PID,90,,1.0,0.25,1.0,0.8,3.5361824534884523,3.0412573490600465,0.0958904109589041,0.10410958904109589,0.0,0.026932367149758423,0.7777777777777778,0.9,0.02809981013153197,0.004109589041095894,0.031041956190854317,1.2431284755483745,4.6936612174568815
Asymmetric PID,180,,2.0,1.0,1.0,0.7972602739726027,3.415348725715934,3.080311268240248,0.09863013698630137,0.10410958904109589,0.0,0.021940418679549108,0.7555555555555555,0.8888888888888888,0.0284344137716423,0.005479452054794623,0.02741987073434373,10.134443472768826,7.377163311344557
Asymmetric PID,365,,0.5,1.0,1.0,0.7945205479452054,3.6510363994837136,3.413214349717844,0.10410958904109589,0.10410958904109589,0.0027397260273972603,0.015177133655394522,0.7555555555555555,0.8555555555555555,0.019991925771562318,0.009589041095890496,0.02476617475128502,10.134443472768826,7.845777740611737
Trailing CQR,90,,,,,0.7808219178082192,3.2810249366943838,2.8110817022302292,0.12876712328767123,0.09041095890410959,0.0,0.027737520128824477,0.7333333333333333,0.8888888888888888,0.03529241390759727,0.038356164383561674,0.06609368451238615,,
Trailing CQR,180,,,,,0.7589041095890411,3.174691981184561,2.699463879042085,0.13424657534246576,0.10684931506849316,0.0027397260273972603,0.045692431561996795,0.6777777777777778,0.8666666666666667,0.04599113527570765,0.06164383561643841,0.1073362671784352,,
Trailing CQR,365,,,,,0.7945205479452054,3.2555713345902038,2.764044937407812,0.1178082191780822,0.08767123287671233,0.0,0.03268921095008052,0.7222222222222222,0.8777777777777778,0.03956333636242235,0.02054794520547954,0.05323715615556006,,
Two-sided ACI,90,0.02,,,,0.7863013698630137,3.4077309136106346,2.9320329031009784,0.1232876712328767,0.09041095890410959,0.0,0.019806763285024134,0.7666666666666667,0.8666666666666667,0.022910387151259603,0.030136986301369913,0.04994374958639405,,
Two-sided ACI,180,0.02,,,,0.7917808219178082,3.4337587563988508,2.9817915643604653,0.12054794520547946,0.08767123287671233,0.0,0.021859903381642495,0.7555555555555555,0.8666666666666667,0.024990468594646625,0.02465753424657542,0.04651743762821792,,
Two-sided ACI,365,0.0025,,,,0.7972602739726027,3.245990933811252,2.753067808430229,0.1178082191780822,0.08493150684931507,0.0,0.02979066022544283,0.7222222222222222,0.8777777777777778,0.038286526907996485,0.019178082191780924,0.04896874241722375,,
Two-sided PID,90,,0.5,1.0,1.0,0.7890410958904109,3.485785272043118,3.2230799260187375,0.11232876712328767,0.09863013698630137,0.0,0.019524959742351036,0.7444444444444445,0.8555555555555555,0.024482840718652015,0.017808219178082257,0.037333178920433294,3.1785999963115685,3.1785999963115685
Two-sided PID,180,,0.5,1.0,1.0,0.7890410958904109,3.4130531349485205,3.1367209258396116,0.1178082191780822,0.09315068493150686,0.0027397260273972603,0.01719001610305957,0.7444444444444445,0.8444444444444444,0.021181913095811227,0.023287671232876776,0.040477687335936346,3.1785999963115685,3.1785999963115685
Two-sided PID,365,,0.5,1.0,1.0,0.7917808219178082,3.470347115785072,3.175391294972915,0.11232876712328767,0.0958904109589041,0.0027397260273972603,0.018719806763285017,0.7444444444444445,0.8555555555555555,0.02388751300646139,0.01643835616438364,0.03515816292766866,3.4969505611397533,3.4969505611397533
