date,y_true,q10,q50,q90,evaluation_fold,lower,upper,method
2023-01-01,12.68,13.127110447887755,13.998906871626577,14.728589266326765,1.0,12.486927356505186,15.368772357709334,Two-sided PID
2023-01-02,13.33,12.048543232735703,13.711981051776906,15.580247585901054,1.0,11.430546183272254,16.198244635364503,Two-sided PID
2023-01-03,14.08,12.399835312053211,13.146411277216377,13.462750476295161,1.0,11.805182058348773,14.0574037299996,Two-sided PID
2023-01-04,13.92,14.32474423670923,14.351544803985579,15.089904152081264,1.0,13.64028991428266,15.774358474507835,Two-sided PID
2023-01-05,15.98,13.923584549447654,14.080632393046486,14.874583566509333,1.0,13.243888440830547,15.55427967512644,Two-sided PID
2023-01-06,14.44,14.949403633652384,15.325748643008904,16.30128249577338,1.0,14.17965104383717,17.071035085588594,Two-sided PID
2023-01-07,14.65,14.599951326435058,15.310432376244346,16.01581555617938,1.0,13.853814329893142,16.761952552721294,Two-sided PID
2023-01-08,14.33,13.92194877372664,14.240481188551787,14.915768119234992,1.0,13.199735010254757,15.637981882706875,Two-sided PID
2023-01-09,14.04,14.567442428842504,14.831652534283952,16.194550743201063,1.0,13.868560642377497,16.893432529666068,Two-sided PID
2023-01-10,14.32,13.342536804258662,14.086375254717955,15.196928095370737,1.0,12.666399052832825,15.873065846796575,Two-sided PID
2023-01-11,13.96,13.619091760635698,14.260902610817677,15.330443134540952,1.0,12.966015629149679,15.98351926602697,Two-sided PID
2023-01-12,14.13,13.219510846711195,14.2891605792715,14.644446914026291,1.0,12.589817074886506,15.27414068585098,Two-sided PID
2023-01-13,14.35,14.564573961630124,14.40370986477973,14.985274870176221,1.0,13.976398222594852,15.573450609211493,Two-sided PID
2023-01-14,14.23,14.106571737851954,14.645260666066605,14.896831380945414,1.0,13.541075561501534,15.462327557295835,Two-sided PID
2023-01-15,13.8,13.44558170769719,14.426289763929885,14.50227506364078,1.0,12.902643707129043,15.045213064208928,Two-sided PID
2023-01-16,14.35,12.570122943135832,14.142530282636836,15.778563308069604,1.0,12.049624598143472,16.299061653061962,Two-sided PID
2023-01-17,14.69,13.159095307883302,14.161144231654813,14.266592231117881,1.0,12.660920898705372,14.76476664029581,Two-sided PID
2023-01-18,14.29,14.201239141778835,14.4588501306247,14.940521612954743,1.0,13.706561536952798,15.43519921778078,Two-sided PID
2023-01-19,14.66,13.380069786292378,14.184455892442138,14.543583408220606,1.0,12.907492824697693,15.01616036981529,Two-sided PID
2023-01-20,14.07,14.679054394495001,15.121271212906525,15.640714822506178,1.0,14.228470381178408,16.091298835822773,Two-sided PID
2023-01-21,14.11,13.295604334113635,14.235662205810586,14.562328992734212,1.0,12.758303482668563,15.099629844179285,Two-sided PID
2023-01-22,14.43,13.194874950196727,14.069827175508971,14.490989036952362,1.0,12.679650243222337,15.006213743926752,Two-sided PID
2023-01-23,14.31,14.015744995496501,14.78647152064832,15.700440913971644,1.0,13.522486240735061,16.193699668733082,Two-sided PID
2023-01-24,14.57,13.380950255250866,14.121596513011182,14.460146860349592,1.0,12.909549842766369,14.93154727283409,Two-sided PID
2023-01-25,14.16,14.371972997585498,14.635066574933965,15.254161564414911,1.0,13.922776989346561,15.703357572653848,Two-sided PID
2023-01-26,14.35,12.947452120658262,14.338594365958535,14.723080206112401,1.0,12.519906754392695,15.150625572377969,Two-sided PID
2023-01-27,14.46,13.353059450723425,14.270465980198521,14.939801612376119,1.0,12.94706452679565,15.345796536303894,Two-sided PID
2023-01-28,14.24,13.354557366127949,14.490853874364456,14.500815561229286,1.0,12.970015048559832,14.885357878797404,Two-sided PID
2023-01-29,14.65,13.331545926752986,14.16899723716754,14.118385498618057,1.0,12.96836069273639,14.481570732634653,Two-sided PID
2023-01-30,14.61,14.34804621993106,15.040016405243366,15.841712394216973,1.0,13.899755388844303,16.29000322530373,Two-sided PID
2023-01-31,14.84,13.47577064732764,14.455133455252813,14.593634275721689,1.0,13.048898779035978,15.02050614401335,Two-sided PID
2023-02-01,14.91,14.271796865247593,14.928295757843404,16.022026082448402,1.0,13.866246111693107,16.42757683600289,Two-sided PID
2023-02-02,14.48,13.68616040904206,14.810713963753024,15.587368283464295,1.0,13.301835208040988,15.971693484465368,Two-sided PID
2023-02-03,14.31,14.010238011088866,14.829680935511552,15.689567948613965,1.0,13.647045038080277,16.052760921622554,Two-sided PID
2023-02-04,14.07,13.462887887875686,14.355573007826639,15.284264957492807,1.0,13.12073600913791,15.626416836230582,Two-sided PID
2023-02-05,14.47,13.400185913961254,14.395634974665269,15.212445260582097,1.0,13.079437288126245,15.533193886417106,Two-sided PID
2023-02-06,14.16,14.186578129412172,14.846687405557775,16.072978388271885,1.0,13.88669472282008,16.37286179486398,Two-sided PID
2023-02-07,14.21,13.529107056899413,14.351908201992977,15.003187827273214,1.0,13.250004041562729,15.282290842609898,Two-sided PID
2023-02-08,14.16,14.059166490220232,14.349592440786003,15.237816909247503,1.0,13.800761055535428,15.496222343932306,Two-sided PID
2023-02-09,14.42,13.308599566850187,14.055830833167374,14.75514905597204,1.0,13.070810879421622,14.992937743400606,Two-sided PID
2023-02-10,14.18,13.977747615519188,14.363992104685257,14.999449054026915,1.0,13.77921092820488,15.197985741341224,Two-sided PID
2023-02-11,13.98,14.046465060241223,14.18820779161678,14.499643170688415,1.0,13.868389230215136,14.677719000714502,Two-sided PID
2023-02-12,13.96,13.865876237257487,14.27333418001292,14.896346264344405,1.0,13.708186133380329,15.054036368221563,Two-sided PID
2023-02-13,14.03,13.989089609103294,14.536339212699723,15.450426981216083,1.0,13.851711928234336,15.587804662085041,Two-sided PID
2023-02-14,13.83,13.849735952294452,13.982353123413144,14.479295932273912,1.0,13.732599184674127,14.596432699894237,Two-sided PID
2023-02-15,13.83,13.507456828763802,13.991753824037547,14.771979210441675,1.0,13.411783314137283,14.867652725068194,Two-sided PID
