date,y_true,q10,q50,q90,evaluation_fold,lower,upper,alpha_t,method,tmax_f,precipitation_in,prior_day_tmax_f,prior_day_precipitation_in,raw_qr_width,aci_width,aci_one_sided_correction,lower_qr_spread,upper_qr_spread,spread_asymmetry,covered,lower_miss,upper_miss,temperature_group,prior_day_wet,predicted_demand_group,uncertainty_group,season
2023-01-01,12.68,13.127110447887755,13.998906871626575,14.728589266326765,1.0,12.445074816490507,15.410624897724013,0.14,Two-sided ACI,40,0.0,48.0,0.0,1.6014788184390092,2.9655500812335056,0.6820356313972482,0.8717964237388198,0.7296823947001894,-0.14211402903863046,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-02,13.33,12.048543232735703,13.711981051776906,15.580247585901054,1.0,11.366507601338457,16.262283217298304,0.144,Two-sided ACI,35,0.14,40.0,0.0,3.5317043531653507,4.895775615959847,0.6820356313972482,1.663437819041203,1.8682665341241478,0.20482871508294487,True,False,False,Coolest 20%,Dry prior day,Lowest 20%,Remaining 90%,Winter
2023-01-03,14.08,12.399835312053211,13.146411277216377,13.46275047629516,1.0,11.727617174328111,14.13496861402026,0.148,Two-sided ACI,30,0.01,35.0,0.14,1.0629151642419483,2.407351439692148,0.6722181377250998,0.7465759651631654,0.31633919907878294,-0.43023676608438244,True,False,False,Coolest 20%,Wet prior day,Lowest 20%,Remaining 90%,Winter
2023-01-04,13.92,14.32474423670923,14.35154480398558,15.089904152081264,1.0,13.707494713004392,15.707153675786104,0.152,Two-sided ACI,35,0.0,30.0,0.01,0.765159915372033,1.9996589627817123,0.6172495237048397,0.02680056727635005,0.7383593480956829,0.7115587808193329,True,False,False,Coolest 20%,Wet prior day,20–40%,Remaining 90%,Winter
2023-01-05,15.98,13.923584549447654,14.080632393046486,14.874583566509331,1.0,13.347704934092224,15.450463181864762,0.156,Two-sided ACI,33,0.0,35.0,0.0,0.9509990170616778,2.102758247772538,0.5758796153554302,0.15704784359883206,0.7939511734628457,0.6369033298640137,False,False,True,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-06,14.44,14.949403633652384,15.325748643008904,16.30128249577338,1.0,14.267368002255136,16.983318127170627,0.14,Two-sided ACI,48,0.0,33.0,0.0,1.3518788621209943,2.7159501249154907,0.6820356313972482,0.3763450093565197,0.9755338527644746,0.5991888434079549,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-01-07,14.65,14.599951326435058,15.310432376244346,16.01581555617938,1.0,13.91791569503781,16.697851187576628,0.144,Two-sided ACI,43,0.0,48.0,0.0,1.4158642297443222,2.7799354925388187,0.6820356313972482,0.7104810498092888,0.7053831799350334,-0.005097869874255423,True,False,False,20–40%,Dry prior day,40–60%,Remaining 90%,Winter
2023-01-08,14.33,13.92194877372664,14.240481188551788,14.915768119234992,1.0,13.24973063600154,15.587986256960091,0.148,Two-sided ACI,45,0.0,43.0,0.0,0.993819345508351,2.3382556209585506,0.6722181377250998,0.3185324148251478,0.6752869306832032,0.3567545158580554,True,False,False,Coolest 20%,Dry prior day,20–40%,Remaining 90%,Winter
2023-01-09,14.04,14.567442428842504,14.831652534283952,16.194550743201063,1.0,13.950192905137666,16.8118002669059,0.152,Two-sided ACI,50,0.0,45.0,0.0,1.6271083143585585,2.861607361768236,0.6172495237048388,0.26421010544144785,1.3628982089171107,1.0986881034756628,True,False,False,Coolest 20%,Dry prior day,40–60%,Remaining 90%,Winter
2023-01-10,14.32,13.342536804258662,14.086375254717955,15.196928095370737,1.0,12.725287280553824,15.814177619075576,0.156,Two-sided ACI,59,0.0,50.0,0.0,1.8543912911120746,3.088890338521752,0.6172495237048388,0.7438384504592932,1.1105528406527814,0.36671439019348817,True,False,False,20–40%,Dry prior day,20–40%,Remaining 90%,Winter
